TOTAL_MUERTOS;TOTAL_AFECTADOS;RANGO_DESASTRE;ID_TIEMPO;ID_DESASTRE;ID_PAIS;ID_REGION;ID_MAGNITUD
36;0;0;1;6;8;16;2
13;0;0;1;12;10;1;3
0;0;0;2;6;21;21;2
300000;3648000;0;3;12;16;19;3
17;110;0;4;12;16;19;3
0;10000000;0;5;6;16;19;2
300;0;0;6;12;16;19;3
0;10000000;0;7;2;27;16;2
172;104371;0;5;6;27;16;2
3;210;0;6;6;17;2;2
0;87600;0;1;2;26;18;2
10;0;0;7;12;35;12;3
30;48;0;8;10;194;23;2
10000;0;7;1;3;41;6;4
107;14000;0;2;12;41;6;3
0;3006;7;2;3;42;16;4
0;4000;0;4;6;42;16;2
307;5105000;0;3;6;42;16;2
100;0;0;100;6;42;16;2
23;10040;0;4;6;47;3;2
1;5200;0;100;6;47;3;2
20;0;0;7;12;50;2;3
0;0;0;1;4;51;22;5
0;0;0;7;12;56;2;3
29;88112;7;100;3;58;16;4
20;140500;0;4;6;58;16;2
0;10100;0;3;6;58;16;2
500;4000;0;1;4;64;5;5
42;37;0;8;10;67;23;2
72;0;0;4;10;67;23;2
0;0;0;7;12;79;2;3
0;909;0;2;6;87;6;2
0;0;0;1;14;87;6;2
0;0;0;4;14;87;6;2
0;529;0;10;6;87;6;2
300;0;0;10;6;88;7;2
82;0;0;100;6;91;17;2
26;200;5;11;3;90;19;4
85;2348973;8;12;3;40;16;4
100;0;0;12;10;1;19;2
0;0;0;13;2;1;19;2
27;0;0;14;6;10;1;2
3;0;0;101;12;10;1;3
0;600;0;13;6;19;23;2
163;0;0;16;12;16;19;3
130;0;0;14;6;27;16;2
109;13000;0;17;6;27;16;2
0;0;110;18;12;35;12;3
31;1500;0;16;11;35;12;2
0;90000;0;19;12;40;16;3
0;400000;0;20;2;34;10;2
200;0;0;101;10;42;16;2
0;0;0;18;6;42;16;2
51;0;0;19;6;42;16;2
20;6;0;18;10;58;16;2
0;2400;0;12;6;58;16;2
0;0;0;13;12;188;20;3
0;12000;0;20;2;76;21;2
0;21000;0;12;6;84;16;2
115;1486;0;13;12;87;6;3
0;0;0;17;14;87;6;2
0;0;0;21;14;87;6;2
0;0;0;22;12;86;3;3
9658;6900000;0;21;12;90;19;3
60;0;0;22;12;90;19;3
150;250000;0;23;6;1;19;2
0;0;0;24;12;19;23;3
200;25000;0;25;12;16;19;3
50;0;0;26;6;16;19;2
0;1000;0;23;6;26;18;2
70;0;0;23;10;42;16;2
54;0;0;24;12;75;23;3
0;0;0;24;6;188;20;2
3;120000;0;27;12;65;8;3
0;0;0;24;12;213;13;3
100;1000;0;26;10;87;6;2
0;0;0;23;14;87;6;2
0;0;0;25;14;87;6;2
0;0;0;27;14;87;6;2
0;7565;0;28;6;87;6;2
138;14607;0;26;6;87;6;2
78;40000;0;28;6;85;2;2
100;4500000;0;30;12;90;19;3
80;30000;0;31;12;90;19;3
100000;3000000;0;40;2;64;5;2
60;300;0;33;12;8;16;3
12;12000;0;40;6;10;1;2
1000;0;0;40;12;16;19;3
200;50000;0;34;12;16;19;3
427;0;0;35;6;16;19;2
700;0;0;34;12;16;19;3
0;0;0;36;6;16;19;2
20;0;0;35;6;27;16;2
0;13000;0;37;6;38;10;2
9;5172;0;38;6;42;16;2
16;0;0;39;10;42;16;2
